epd_week,cases,male,female,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 37,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,1,7,2,6,8,8,0
week 38,10,6,4,0,0,0,0,0,0,0,1,0,1,0,0,2,5,1,0,1,0,0,0,10,1,9,10,9,0
week 39,12,6,6,1,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,2,0,1,0,12,5,7,12,12,0
week 40,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,2,0,0,11,6,5,11,11,0
week 41,13,4,9,0,1,0,0,1,0,0,0,0,0,0,1,2,3,3,2,1,1,0,0,13,2,11,13,13,0
week 42,25,13,12,0,0,0,0,0,0,0,0,0,0,2,1,4,7,9,0,2,0,0,3,22,2,23,25,25,0
week 43,17,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,1,0,0,16,1,16,17,14,0
week 44,22,11,11,0,0,0,0,0,1,0,1,0,1,0,0,1,5,15,0,0,0,0,0,20,4,18,22,16,0
week 45,27,14,13,0,0,0,0,0,0,0,0,0,0,1,0,2,12,9,1,1,1,0,5,21,1,26,27,24,0
week 46,39,23,16,0,0,0,1,0,1,0,0,0,3,2,1,1,13,12,4,1,2,0,8,30,3,36,39,36,0
week 47,54,26,28,0,0,0,0,0,0,1,1,1,1,3,0,3,18,13,7,2,5,1,2,52,5,49,53,47,1
week 48,113,60,53,0,0,0,0,0,1,0,1,0,0,7,5,9,41,36,2,3,4,6,10,96,20,93,112,63,0
week 49,114,57,57,1,0,0,0,0,3,0,1,0,1,7,10,7,35,36,5,4,9,0,6,96,33,81,114,43,3
week 50,170,76,94,0,0,0,0,1,5,0,1,1,2,10,16,12,59,43,7,7,12,1,13,147,53,117,170,125,2
week 51,253,115,138,0,0,1,1,0,4,0,0,0,3,13,19,17,96,75,7,12,8,3,5,230,110,143,251,148,2
week 52,219,107,112,0,0,0,1,0,0,0,2,0,2,9,11,15,83,61,7,7,17,7,15,191,79,140,216,76,0
