epd_week,cases,male,female,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0
week 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
week 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0
week 5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0
week 6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,2,2,0
week 7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0
week 8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,2,0
week 9,11,8,3,0,0,1,0,0,0,0,0,0,0,1,1,0,3,6,0,0,0,0,0,11,2,9,11,10,0
week 10,5,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,5,3,2,5,4,0
week 11,14,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,0,1,0,1,1,13,4,10,14,11,1
week 12,17,11,6,0,0,0,0,0,0,0,0,0,0,1,1,1,5,9,0,0,0,0,2,15,4,13,17,16,0
week 13,45,20,25,0,0,0,0,1,0,0,0,0,0,3,5,1,17,12,2,2,3,0,1,43,5,40,45,38,0
week 14,23,12,11,0,0,0,0,1,0,0,0,0,0,3,1,2,8,8,0,1,0,0,0,20,7,16,23,12,0
week 15,51,26,25,0,0,2,0,1,0,0,1,0,0,1,5,4,24,12,2,1,2,0,1,47,10,41,51,41,0
week 16,44,23,21,0,1,1,0,0,2,0,2,0,0,2,5,5,20,11,0,1,0,0,2,42,10,34,43,40,1
week 17,60,36,24,1,0,0,0,0,0,1,0,0,3,5,3,4,22,19,3,0,0,1,2,58,16,44,60,47,0
week 18,75,41,34,1,0,0,0,0,1,0,0,0,1,8,7,8,28,15,3,1,4,0,1,72,15,60,75,63,0
week 19,79,44,35,0,0,1,0,0,0,0,0,0,1,6,4,6,27,25,2,1,6,1,1,75,27,52,78,66,0
week 20,87,51,36,0,1,0,0,0,3,0,0,0,2,3,5,13,32,22,4,2,4,0,2,84,23,64,86,69,1
week 21,86,36,50,0,0,0,1,0,3,0,0,0,2,5,7,5,29,24,4,2,6,2,3,79,23,63,86,72,0
week 22,65,36,29,0,0,1,0,1,0,0,0,1,2,1,11,6,18,17,5,2,1,1,2,60,18,47,65,41,1
week 23,46,19,27,0,0,0,0,0,1,0,0,0,1,4,0,4,21,12,0,1,3,0,3,40,16,30,46,24,3
week 24,42,20,21,0,1,0,0,0,1,0,1,0,0,2,3,6,17,14,0,0,0,0,1,40,6,36,42,22,1
week 25,43,23,20,0,0,1,0,0,1,0,0,0,1,0,1,3,16,13,5,2,2,0,0,43,6,37,43,27,3
week 26,31,22,9,0,0,1,0,0,0,0,0,1,1,2,2,6,11,6,0,0,2,0,2,27,6,25,31,15,1
week 27,19,8,11,0,0,0,0,0,0,0,0,1,0,1,1,1,11,2,1,1,0,0,1,17,2,17,19,12,0
week 28,14,7,7,0,0,0,0,0,0,0,1,0,0,1,2,0,7,2,1,0,1,0,1,13,3,11,14,13,0
week 29,14,7,7,0,0,0,0,0,0,0,0,0,1,0,2,0,5,5,0,0,0,1,1,13,4,10,14,13,0
week 30,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0,3,3,3,0
week 31,13,5,8,0,0,1,0,0,0,0,1,0,0,0,2,0,3,6,1,0,0,1,1,12,6,7,12,11,0
week 32,11,3,8,0,0,0,0,0,0,0,0,1,0,1,0,2,4,2,0,1,0,0,0,11,3,8,11,11,0
week 33,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,3,3,3,0
week 34,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,2,0,4,4,4,0
week 35,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,4,4,4,0
week 36,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,2,3,2,1
