epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,12,5,7,0,0,0,0,1,0,4,0,1,0,0,0,0,1,4,5,0,0,2,0,0,12,0,12,12,12,0
week 2,21,5,16,0,1,0,0,0,1,5,0,0,0,0,1,2,5,11,0,1,1,0,0,2,19,0,21,21,21,0
week 3,29,15,14,0,0,1,0,0,1,5,0,0,0,1,2,3,2,10,8,1,0,0,2,1,28,1,28,29,29,0
week 4,38,21,17,0,0,1,0,0,1,6,1,1,0,2,4,1,2,14,10,1,2,1,1,1,35,1,37,38,38,0
week 5,54,25,29,0,0,0,1,0,3,6,0,2,1,2,5,3,6,16,13,3,3,1,1,0,54,3,51,54,54,0
week 6,64,25,39,1,1,1,5,1,1,8,0,1,0,2,6,3,8,18,14,4,4,3,2,3,60,2,62,64,64,0
week 7,100,41,59,0,3,1,3,0,4,17,0,3,1,6,6,11,7,25,33,1,6,3,1,3,94,18,82,97,100,0
week 8,153,60,93,0,3,0,14,3,5,9,4,3,2,6,12,10,11,49,37,7,11,6,2,4,148,37,116,148,152,1
week 9,352,170,182,2,6,8,23,12,13,36,3,12,2,17,23,28,27,126,76,21,9,17,6,9,341,135,217,347,352,0
week 10,583,259,324,0,8,3,51,30,34,81,9,17,0,20,44,65,49,207,145,17,15,17,4,10,569,262,321,579,582,1
week 11,968,429,537,1,17,14,62,45,46,157,13,17,2,32,73,96,90,335,229,46,32,23,10,22,943,484,484,959,967,1
week 12,1203,541,662,3,20,10,62,31,86,145,13,24,4,37,102,114,126,450,256,31,35,30,18,30,1173,671,532,1195,1201,2
week 13,1140,525,614,2,9,10,62,18,42,124,14,19,7,37,94,111,102,379,270,46,38,40,16,23,1116,546,593,1135,1138,1
week 14,1142,523,617,3,22,9,33,16,44,137,17,23,5,33,135,109,90,387,257,45,39,27,15,26,1110,503,639,1133,1142,0
week 15,1337,605,714,3,24,20,42,21,38,169,10,20,9,38,97,118,110,437,347,58,45,57,21,53,1275,536,801,1328,1334,3
week 16,1139,538,600,1,13,12,107,18,48,146,14,16,4,33,105,96,100,356,295,59,32,45,14,28,1106,486,653,1137,1137,2
week 17,1242,585,656,0,12,9,65,22,59,116,14,15,3,30,96,124,104,438,321,43,39,31,13,29,1209,503,739,1235,1240,2
week 18,1148,512,634,0,6,11,44,18,36,116,7,14,4,43,118,102,65,386,299,55,29,36,11,29,1118,591,557,1142,1147,1
week 19,995,478,508,1,12,10,38,13,31,78,17,12,5,28,98,115,82,342,229,33,31,23,9,15,977,516,479,988,995,0
week 20,774,348,423,1,10,9,31,11,29,90,4,19,1,17,55,53,75,265,217,32,18,29,12,9,764,360,414,768,773,1
week 21,509,250,258,0,6,1,45,10,19,63,4,16,1,24,33,50,53,167,116,20,18,19,8,16,492,242,267,505,505,4
week 22,322,161,161,0,3,3,23,13,12,46,3,12,1,8,23,31,33,101,100,11,8,4,2,7,314,171,151,320,322,0
week 23,237,114,122,1,2,2,19,8,8,35,6,5,0,7,22,29,18,77,63,6,8,6,1,5,231,120,117,235,237,0
week 24,157,68,89,1,1,1,10,6,9,25,4,6,0,3,7,7,14,65,48,5,1,7,0,3,153,87,70,156,156,1
week 25,111,60,51,0,1,1,9,4,3,13,1,2,1,3,8,7,10,44,26,7,2,3,0,2,108,57,54,111,111,0
week 26,70,33,37,0,0,0,14,4,4,8,1,1,0,4,4,1,6,33,15,4,1,0,2,1,69,51,19,70,70,0
week 27,46,19,27,0,0,1,4,5,4,7,1,0,0,4,3,1,4,20,9,1,1,3,0,1,45,33,13,45,46,0
week 28,50,25,25,0,1,0,2,6,7,11,1,0,0,2,3,2,6,22,11,1,2,1,0,2,46,31,19,50,50,0
week 29,26,11,15,0,1,0,1,2,1,4,0,1,0,1,0,2,1,12,7,0,0,3,0,0,26,18,8,26,26,0
week 30,31,16,15,0,2,0,4,0,2,4,1,1,0,0,1,0,4,18,6,0,1,1,0,0,31,26,5,31,31,0
week 31,32,10,22,0,0,1,1,0,4,2,0,1,0,0,2,2,4,14,8,1,0,1,0,0,32,23,9,30,32,0
week 32,25,14,11,0,0,0,1,1,3,2,0,1,0,1,0,0,0,12,9,1,1,1,0,0,25,22,3,25,25,0
week 33,29,13,16,0,1,1,0,2,3,4,0,3,0,1,1,0,3,13,8,2,0,1,0,1,28,24,5,28,29,0
