epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 5,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,2,2,0
week 6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0
week 7,5,3,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,4,0,5,5,5,0
week 8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,1,1
week 9,4,2,2,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,2,1,0,0,0,0,4,0,4,4,4,0
week 10,4,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,3,0,4,4,2,2
week 11,6,3,3,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,5,0,0,0,0,0,6,1,5,6,6,0
week 12,8,3,5,0,1,1,1,0,0,2,0,3,0,0,1,0,0,4,2,0,1,0,0,0,8,0,8,8,8,0
week 13,10,3,7,0,0,0,0,0,2,4,0,4,0,0,0,0,2,4,3,0,0,1,0,0,10,0,10,10,8,2
week 14,17,5,12,0,1,0,1,1,2,8,0,2,0,0,1,0,2,8,5,1,0,0,0,1,16,2,15,17,14,3
week 15,21,7,14,0,1,1,1,0,5,9,2,2,0,0,0,0,3,10,7,1,0,0,0,0,19,5,16,21,21,0
week 16,30,16,14,0,1,1,2,0,7,6,5,4,0,0,0,4,2,12,8,2,2,0,0,0,28,8,22,30,27,3
week 17,28,14,14,1,4,0,2,1,2,11,3,1,0,0,0,0,1,17,8,0,1,1,0,0,25,3,25,27,25,3
