epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,116,46,70,1,8,1,11,9,9,31,3,4,2,0,2,9,9,52,31,4,1,4,2,2,114,52,64,115,115,1
week 2,282,133,149,2,10,7,15,8,16,54,5,5,4,4,15,15,20,117,80,6,8,11,1,5,274,141,141,282,282,0
week 3,523,220,303,2,27,24,39,11,38,121,12,13,6,8,27,37,42,193,146,28,15,12,9,6,514,209,314,521,523,0
week 4,833,355,478,2,36,13,54,33,72,176,8,14,9,21,36,56,66,303,249,31,29,23,10,5,825,358,475,833,833,0
week 5,1027,445,581,7,36,27,76,33,64,236,15,32,11,23,46,63,82,357,298,53,46,36,12,17,968,443,584,1025,1026,1
week 6,1178,536,642,2,38,31,85,38,66,239,19,28,8,27,54,80,81,422,317,78,49,48,14,25,1141,456,722,1175,1178,0
week 7,1393,589,803,9,48,37,103,47,102,355,18,51,15,40,78,120,107,447,384,81,56,47,18,15,1373,554,839,1391,1393,0
week 8,1898,793,1104,13,78,56,142,77,143,487,46,96,16,55,99,140,124,626,521,117,87,79,33,49,1780,804,1094,1893,1895,3
week 9,1773,786,982,9,69,58,104,55,119,389,37,59,11,28,64,111,160,646,494,86,73,74,26,40,1693,900,873,1772,1773,0
week 10,1730,770,959,11,53,29,118,46,123,433,28,66,10,46,88,94,137,641,490,75,54,69,26,47,1577,903,827,1726,1729,1
week 11,2160,956,1202,11,79,70,170,68,135,510,47,80,14,52,103,166,161,777,593,105,71,79,38,47,2111,1188,972,2157,2155,5
week 12,2181,942,1235,16,71,49,165,71,179,570,51,98,11,68,123,162,188,749,563,118,70,88,41,61,2115,1048,1133,2176,2181,0
week 13,2187,953,1224,12,80,52,155,96,156,485,47,81,18,39,100,178,168,761,589,123,92,95,24,45,2138,1099,1088,2187,2186,1
week 14,2129,958,1169,7,101,65,167,79,136,570,64,86,23,56,105,156,163,716,588,105,95,86,36,47,2076,1022,1107,2124,2126,3
week 15,1573,696,874,7,63,36,115,57,96,416,33,45,9,46,104,114,102,525,443,70,64,65,31,37,1524,668,905,1568,1571,2
week 16,1173,484,687,5,57,29,84,40,64,301,17,49,12,23,68,74,77,403,338,67,57,34,20,36,1131,490,683,1167,1171,2
week 17,1067,418,649,5,37,31,87,32,81,327,20,34,5,34,51,76,91,355,298,53,48,41,15,34,1029,453,614,1066,1065,2
week 18,669,256,413,2,23,19,43,31,36,191,12,19,2,17,35,44,53,242,170,40,25,27,14,18,649,285,384,667,668,1
week 19,483,200,283,0,23,14,38,21,33,138,11,11,5,20,19,33,35,166,132,24,22,19,8,20,463,203,280,481,482,1
week 20,375,161,214,0,11,9,20,11,20,97,7,10,3,7,19,24,31,128,114,21,9,11,8,10,363,164,211,375,374,1
week 21,348,154,194,0,10,12,30,13,25,70,9,7,3,6,28,27,27,115,100,14,12,13,3,6,342,156,192,347,348,0
week 22,186,84,102,2,10,2,5,5,7,34,2,3,1,3,21,8,12,57,55,12,9,2,6,8,178,80,106,185,186,0
week 23,108,45,63,0,3,3,6,1,5,13,4,1,2,6,9,12,9,42,19,3,4,2,0,5,103,48,60,108,108,0
week 24,84,35,49,0,3,3,5,0,5,14,2,5,0,0,3,8,6,31,21,8,1,4,2,10,74,41,43,84,84,0
week 25,50,28,22,0,3,0,3,2,3,7,1,1,1,1,4,2,5,19,12,1,2,3,0,2,48,22,28,50,50,0
week 26,49,26,23,0,2,0,2,1,2,11,0,1,1,2,0,0,8,18,14,0,1,4,1,2,47,20,29,49,49,0
week 27,25,10,15,0,2,0,2,2,0,8,0,2,0,0,5,1,0,8,10,0,0,1,0,1,24,12,13,25,25,0
week 28,16,5,11,0,0,0,1,0,1,3,0,1,0,0,1,1,1,10,1,1,1,0,0,1,15,2,14,16,16,0
week 29,13,10,3,0,0,0,2,0,1,2,0,0,0,0,0,2,1,8,2,0,0,0,0,0,13,6,7,13,13,0
week 30,10,5,5,0,0,0,2,0,1,0,0,0,0,0,0,1,1,3,5,0,0,0,0,0,10,3,7,10,10,0
week 31,7,6,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,3,2,1,0,0,0,0,7,3,4,7,7,0
week 32,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,1,2,3,3,0
week 33,8,4,4,0,0,0,1,0,0,0,0,2,0,2,1,1,0,3,0,0,0,1,0,0,8,4,4,8,8,0
week 34,6,2,4,0,0,0,0,0,0,1,0,0,0,1,0,2,2,1,0,0,0,0,0,0,6,3,3,6,6,0
week 35,5,4,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,1,4,1,4,4,5,0
week 36,6,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,6,4,2,6,6,0
week 37,10,2,8,0,0,0,1,0,1,3,0,0,0,0,0,1,2,3,4,0,0,0,0,0,10,9,1,10,10,0
week 38,26,9,17,0,0,0,1,0,0,2,0,3,0,3,2,1,1,8,7,1,2,1,0,2,24,10,16,26,26,0
week 39,187,78,109,0,0,0,1,0,0,2,0,0,1,8,16,18,12,37,58,8,9,13,7,1,186,6,181,187,187,0
week 40,213,102,111,1,0,0,0,1,2,4,0,2,1,5,8,19,14,53,63,12,6,22,10,1,212,6,207,213,213,0
week 41,113,50,63,0,0,0,0,0,2,2,0,0,0,2,8,7,9,30,32,9,4,9,3,2,110,5,108,113,113,0
week 42,9,3,6,0,1,0,0,0,0,2,1,2,0,0,0,0,0,6,1,1,0,0,1,1,8,8,1,9,9,0
week 43,21,9,12,0,2,0,1,0,1,3,0,0,0,2,0,3,2,10,3,0,1,0,0,1,20,7,14,21,21,0
week 44,11,7,4,0,0,0,1,1,0,3,0,0,0,0,1,0,2,4,3,1,0,0,0,1,10,8,3,11,11,0
week 45,10,6,4,0,1,0,0,0,0,4,0,0,0,1,1,1,0,4,2,0,1,0,0,1,9,8,2,10,10,0
week 46,19,8,11,0,2,0,1,0,0,1,0,0,0,1,0,1,3,8,3,0,1,2,0,0,18,16,3,19,19,0
week 47,14,7,7,0,0,1,1,1,2,4,0,1,0,1,1,1,1,9,0,0,0,0,1,0,13,8,6,14,14,0
week 48,6,3,3,0,0,0,1,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,6,6,0,6,6,0
week 49,10,6,4,0,0,0,0,0,0,2,1,2,0,0,1,0,1,5,1,1,1,0,0,0,10,6,4,10,10,0
week 50,8,5,3,0,1,0,0,1,0,2,0,0,0,1,0,0,1,4,0,1,0,1,0,0,8,7,1,8,8,0
week 51,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,1,3,3,0
