epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,4,2,2,0,0,1,0,0,0,1,1,1,0,0,0,1,0,2,1,0,0,0,0,0,4,0,4,4,2,2
week 2,5,1,4,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,2,0,0,0,0,1,4,2,3,5,2,3
week 3,17,10,7,0,1,0,1,2,2,6,0,2,0,0,0,1,1,10,3,0,0,2,0,1,15,5,12,17,12,5
week 4,47,23,24,0,3,0,7,3,4,10,1,6,1,1,0,3,2,21,9,4,5,0,1,3,37,13,34,47,40,7
week 5,121,58,63,0,11,5,13,13,6,25,5,19,1,2,2,6,16,40,30,9,4,8,3,3,83,36,85,121,114,7
week 6,181,86,95,0,8,7,22,11,20,40,13,25,1,1,1,13,15,70,57,6,6,4,7,5,128,67,114,181,176,5
week 7,252,122,130,3,12,10,20,19,22,61,10,28,1,6,2,7,20,92,81,14,11,13,5,4,158,56,196,251,245,7
week 8,403,170,233,1,15,9,53,22,40,103,21,42,5,8,12,15,43,151,113,22,16,11,7,9,203,134,269,400,398,5
week 9,496,229,267,3,21,18,63,39,35,100,22,47,4,7,20,53,24,177,140,25,17,24,5,15,263,155,341,492,493,3
week 10,558,267,290,7,32,24,58,40,36,96,31,54,4,3,18,27,36,194,179,29,23,32,13,8,304,188,370,556,550,8
week 11,697,331,366,3,35,41,74,42,56,152,24,50,4,12,26,47,45,241,213,43,24,30,12,17,462,267,430,696,695,2
week 12,637,296,341,6,47,23,55,41,45,138,32,50,5,11,36,36,44,215,182,37,30,32,9,19,451,236,401,637,635,2
week 13,467,214,253,1,43,21,52,26,37,98,19,41,5,5,31,42,37,163,115,24,21,14,10,25,305,158,309,466,465,2
week 14,572,263,309,8,30,34,70,48,62,123,25,48,1,10,30,32,43,199,154,28,27,36,12,36,353,182,390,566,569,3
week 15,501,237,264,4,34,17,71,23,40,97,19,47,4,12,22,53,24,150,129,31,34,22,20,39,282,181,320,499,501,0
week 16,381,165,216,3,16,13,44,31,36,85,6,34,6,9,19,39,27,98,111,25,22,21,4,30,241,128,253,380,381,0
week 17,456,212,244,0,27,17,52,17,43,82,10,33,2,7,23,35,38,140,128,30,28,18,7,17,296,222,234,451,456,0
week 18,455,198,257,3,22,12,52,23,27,84,14,40,4,6,20,35,28,137,145,23,17,26,14,20,278,198,257,450,455,0
week 19,347,172,175,4,22,5,31,12,24,61,10,35,1,7,24,31,21,106,93,23,14,18,9,12,253,135,212,346,347,0
week 20,310,142,168,3,7,8,23,6,14,42,6,11,3,8,14,28,21,90,89,17,13,19,8,11,235,52,258,309,310,0
week 21,177,79,98,0,5,6,9,9,8,39,5,5,1,3,7,17,8,51,48,15,10,12,5,3,146,49,127,176,176,0
week 22,156,85,71,0,2,0,11,2,4,23,2,4,2,3,12,12,9,47,54,5,4,6,2,4,135,41,115,156,156,0
week 23,176,72,104,1,5,0,8,4,14,18,4,3,1,2,11,17,17,53,55,11,4,4,1,2,151,29,147,176,176,0
week 24,208,103,105,0,4,6,5,2,2,18,1,3,2,6,9,7,12,59,66,14,13,13,7,4,135,16,192,207,208,0
week 25,141,60,81,0,3,1,0,3,2,13,1,3,1,3,12,15,4,26,49,8,9,10,4,2,89,12,129,141,141,0
week 26,356,157,199,0,3,1,4,3,4,5,0,1,2,7,25,24,17,83,128,23,17,22,8,1,315,9,347,356,356,0
week 27,148,60,88,0,1,0,1,1,2,5,1,5,0,2,7,8,4,46,54,10,7,7,3,0,147,1,147,148,148,0
week 28,156,56,100,0,1,0,2,0,0,1,0,1,0,4,8,17,7,41,57,5,5,7,5,0,155,2,154,156,155,1
week 29,17,9,8,0,0,0,1,0,2,2,0,2,1,0,0,1,0,8,7,0,0,0,0,0,13,3,14,17,17,0
week 30,15,2,13,1,0,1,0,0,0,1,0,0,0,0,3,3,0,2,6,0,0,1,0,0,12,4,11,15,15,0
week 31,10,5,5,0,1,0,0,0,0,1,1,3,0,0,1,0,0,4,3,1,0,1,0,0,7,1,9,10,10,0
week 32,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,3,3,0
week 33,6,2,4,0,2,0,0,1,1,1,0,0,0,1,0,0,1,1,3,0,0,0,0,0,3,1,5,6,6,0
week 34,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,2,0
week 35,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0
week 36,4,0,4,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,3,3,1,4,4,0
week 37,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,2,0
week 38,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,2,2,0
week 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 40,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0
week 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
week 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 45,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,2,0
week 46,5,1,4,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,4,1,3,4,4,0
week 47,9,5,4,0,2,0,0,0,1,1,0,0,0,1,0,2,1,0,5,0,0,0,0,1,6,3,5,8,8,0
week 48,7,4,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,6,1,6,7,7,0
week 49,9,5,4,0,0,0,0,0,0,2,2,1,0,0,0,0,3,4,1,0,1,0,0,0,8,1,6,7,8,0
week 50,12,6,6,0,1,2,3,1,0,1,1,0,0,0,2,2,1,4,2,0,0,1,0,0,11,6,5,11,11,0
week 51,6,1,5,0,0,0,0,0,0,1,0,1,0,2,0,0,0,3,1,0,0,0,0,0,4,2,3,5,5,0
week 52,18,8,10,0,1,0,1,0,3,4,1,0,0,1,1,1,2,7,5,0,1,0,0,0,11,3,14,17,17,0
