epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,age_60_64,age_65_69,age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
week 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
week 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
week 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
week 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 7,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,1,2,1,0
week 8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,2,2,0
week 9,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,2,2,0
week 10,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,2,2,0
week 11,4,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,2,2,2,2,4,4,0
week 12,16,11,5,0,0,1,0,0,0,7,0,1,0,0,0,0,0,5,7,4,0,0,0,1,14,9,6,12,15,0
week 13,20,9,11,0,0,1,0,0,1,17,0,0,0,0,0,1,0,7,8,2,1,1,0,2,18,8,11,19,18,0
week 14,11,4,7,0,0,0,0,0,0,8,0,1,0,0,0,0,1,4,5,0,0,0,1,0,11,2,8,10,10,0
week 15,9,6,3,0,0,0,0,0,0,5,0,0,0,0,1,0,1,3,4,0,0,0,0,0,9,3,6,9,7,0
week 16,9,3,6,0,0,0,1,1,0,5,1,0,1,0,0,0,2,2,4,0,0,0,0,0,7,1,5,6,7,0
