epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,30,13,17,0,0,0,0,0,0,4,0,2,0,2,2,0,2,15,6,3,0,0,0,0,30,0,30,30,17,13
week 2,36,22,14,0,2,0,1,0,0,2,3,1,0,0,1,2,3,15,13,0,1,1,0,0,35,0,36,36,25,11
week 3,51,22,29,0,3,0,2,1,2,9,1,1,0,1,0,1,3,20,20,1,2,1,2,2,49,0,51,51,48,3
week 4,60,33,27,1,0,0,1,0,0,5,0,3,0,2,1,4,3,21,20,3,1,5,0,1,57,0,60,58,50,10
week 5,61,31,30,0,2,0,1,2,1,2,3,5,2,1,0,5,6,18,23,0,3,1,2,0,59,0,61,60,53,8
week 6,77,43,34,0,1,2,2,0,2,6,1,1,1,5,1,4,9,22,27,3,3,0,2,1,71,0,77,77,69,8
week 7,85,40,45,0,1,0,5,0,1,7,1,1,4,2,3,9,6,31,21,1,2,3,3,2,71,0,84,84,75,9
week 8,76,43,33,0,0,1,1,2,1,10,0,1,2,1,1,5,11,32,16,1,3,1,3,1,68,0,76,75,72,4
week 9,100,47,53,0,1,0,2,2,4,5,3,1,0,4,3,4,17,32,30,5,2,1,2,1,95,3,97,99,95,4
week 10,88,48,40,0,0,0,2,2,2,4,1,3,2,5,5,4,6,35,19,3,2,5,2,1,84,1,87,88,83,5
week 11,71,35,36,0,0,1,2,0,1,3,2,5,1,1,0,8,3,29,19,4,3,1,2,0,68,2,69,71,68,3
week 12,93,49,44,0,1,3,0,0,2,4,0,4,5,2,7,5,10,30,24,2,5,2,1,2,87,6,87,92,91,2
week 13,121,66,54,0,0,0,1,1,4,5,2,3,1,5,7,4,9,45,31,6,5,7,1,1,116,14,107,120,115,6
