epd_week,cases,male,female,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,2,1,1
week 2,7,6,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,1,0,0,4,0,7,6,5,2
week 3,9,6,3,0,0,0,0,0,1,1,1,0,0,0,0,4,2,2,0,1,0,0,0,8,0,7,7,3,4
week 4,11,7,4,0,0,1,0,0,1,0,0,1,1,1,1,2,3,1,0,0,1,0,0,11,0,11,11,5,6
week 5,10,6,4,0,0,0,0,2,0,0,1,0,1,1,2,2,2,2,0,0,0,0,0,9,0,8,8,6,2
week 6,8,6,2,0,0,1,0,0,0,1,1,0,1,0,0,3,3,1,0,0,0,0,0,7,0,7,7,5,2
week 7,7,4,3,0,0,1,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,0,0,7,0,7,7,7,0
week 8,10,6,4,0,0,0,1,1,2,0,0,0,0,0,0,1,5,3,1,0,0,0,0,9,0,7,7,6,1
week 9,11,8,3,2,1,0,0,0,1,0,0,0,1,1,0,2,2,3,0,0,1,1,0,11,0,11,11,10,1
week 10,17,10,7,0,0,2,0,0,0,1,0,2,2,0,3,0,6,3,0,0,1,0,0,15,0,15,15,13,2
week 11,17,13,4,0,0,0,1,0,4,0,1,0,2,1,1,1,3,5,1,3,0,0,0,16,0,17,17,14,3
week 12,17,11,6,1,0,0,0,2,2,0,0,0,1,0,1,1,5,8,0,0,1,0,0,15,0,16,16,12,4
week 13,31,12,19,2,1,2,0,2,0,0,0,0,1,0,4,1,15,6,4,0,0,0,0,28,0,28,28,24,4
week 14,29,14,15,0,0,0,0,2,2,1,1,0,3,0,3,2,9,10,1,1,0,0,0,26,0,28,28,24,4
week 15,40,27,13,0,1,0,1,2,4,0,1,0,1,1,5,4,16,9,1,2,0,0,0,35,0,37,35,27,10
week 16,50,25,25,1,0,0,2,0,4,3,2,0,1,2,5,4,22,11,3,2,0,0,0,49,0,48,48,25,23
week 17,80,38,42,2,1,2,0,5,7,2,1,1,0,1,6,5,35,20,4,5,2,1,0,67,2,76,78,53,25
week 18,73,37,36,2,1,3,1,4,5,0,2,2,1,3,4,7,31,18,4,2,1,0,0,54,1,66,66,42,25
week 19,56,29,27,0,0,1,1,1,4,1,1,2,1,2,3,7,17,18,2,1,2,1,0,45,1,52,52,38,15
week 20,62,30,32,0,1,1,0,3,7,2,4,2,1,2,6,7,26,11,3,0,4,0,0,48,0,60,60,47,13
week 21,49,25,24,0,2,1,0,0,3,2,1,2,1,0,5,1,24,9,2,2,3,0,0,17,0,46,46,29,17
