epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,54,30,24,0,0,0,1,0,4,16,0,7,0,3,0,3,4,19,12,6,2,5,0,4,35,37,17,52,39,15
week 2,117,63,54,0,2,3,3,1,4,31,2,5,1,3,8,1,14,45,31,4,5,3,1,6,73,79,38,114,89,28
week 3,203,100,103,1,4,3,11,4,13,36,2,10,2,5,9,18,17,63,52,13,11,10,3,6,137,131,72,194,170,33
week 4,287,147,140,3,4,2,9,6,15,64,3,10,2,7,14,21,26,82,81,14,18,18,4,8,216,180,107,286,246,41
week 5,365,197,168,2,2,0,12,7,13,89,6,20,4,7,17,19,31,103,114,26,15,22,7,18,251,244,121,365,331,34
week 6,597,303,294,2,4,8,14,10,29,101,6,26,4,25,25,48,41,196,164,30,23,28,13,19,360,525,72,594,581,16
week 7,819,405,414,2,18,13,23,14,31,182,11,56,5,18,44,35,54,276,230,46,44,49,18,38,512,741,78,808,819,0
week 8,1364,648,716,5,22,10,38,21,35,277,24,68,16,35,64,111,107,456,347,62,62,71,32,65,880,1191,173,1350,1364,0
week 9,3493,1661,1829,5,31,35,75,43,100,652,41,127,38,145,182,236,269,1207,890,174,134,151,66,94,2432,3452,41,3451,3493,0
week 10,4164,2012,2146,3,34,33,73,48,116,572,52,127,44,139,232,271,317,1395,1082,216,169,210,89,90,2949,4148,16,4097,4163,1
week 11,4329,2068,2256,11,39,40,105,56,96,710,53,172,47,133,227,320,308,1414,1120,251,160,233,115,76,2988,4317,12,4243,4323,6
week 12,6460,3071,3381,7,30,45,89,65,121,1115,48,226,41,161,312,446,504,2049,1768,361,271,385,159,116,4064,6439,21,6344,6453,7
week 13,7271,3413,3849,4,27,22,73,83,110,1057,46,278,37,189,370,477,559,2348,2057,393,308,395,138,104,4247,7244,27,7215,7263,8
week 14,7597,3590,4001,0,24,40,81,77,89,941,44,206,54,212,353,475,608,2629,2124,400,270,332,140,124,4693,7567,30,7473,7587,10
week 15,8474,4002,4464,5,22,30,83,95,78,1384,53,288,62,235,412,625,684,2902,2288,386,357,390,131,100,5661,8438,36,8382,8472,2
