,dengue_cases,mean_temperature,mean_humidity
269,2320,22.6558442857,96.66351
270,2940,23.0987011429,94.1403485714
271,3333,22.8623377143,96.7469957143
272,3377,22.3129871429,96.0696721429
273,2999,21.8818177143,87.8813628571
274,2777,23.1831165714,85.2353292857
275,2290,21.4589828571,94.8799664286
276,1629,21.6329671429,90.132645
277,1379,23.2157841429,89.1704364286
278,816,22.7090908571,89.055998
279,582,22.0129871429,93.9251907143
280,497,20.296104,95.2319528571
281,351,18.8571428571,83.898099
282,192,20.157143,82.9450634286
283,136,17.27013,88.9234245714
284,107,19.4832248571,76.2740188571
285,74,19.2818182857,81.5171108571
286,51,20.3376622857,75.500853
287,26,19.7298702857,75.3819341429
288,25,14.0999998571,74.5512665714
289,20,16.6428571429,77.7622682857
290,11,19.7818182857,71.0096038571
291,12,18.6870128571,79.1724715714
292,13,18.077922,80.0091087143
293,10,18.8870127143,71.5605862857
294,8,17.2376622857,80.4922211429
295,14,18.8961041429,76.4595505714
296,12,18.4064935714,96.0608362857
297,30,25.8428568571,56.370804
298,103,25.1090908571,66.1272417143
299,231,17.412987,89.4076008571
300,215,21.7974025714,71.5063947143
301,93,21.4129868571,85.8435977143
302,19,23.6493505714,79.3136072857
303,36,20.5246754286,87.3583054286
304,25,23.7792208571,83.7712298571
305,25,24.3,83.3288111429
306,30,22.0714285714,94.2784635714
307,21,21.0857142857,88.7187408571
308,10,20.9095237143,91.2953105714
309,20,21.9793651429,95.362645
310,22,22.5285714286,91.6898942857
311,15,22.6317458571,95.5342442857
312,18,22.4714285714,90.3996121429
313,18,25.0555553333,85.3039701667
314,44,25.365476,91.507222
315,66,26.1726191429,85.5539335714
316,100,24.6428574286,82.9150164286
317,115,26.815476,74.5784382857
318,93,23.1269841429,98.20467
319,110,21.346032,95.7935602857
320,110,24.9746751429,91.9508277143
321,76,22.6023811429,92.3139128571
322,82,22.2785714286,82.10991
323,78,23.3488094286,83.4126571429
324,36,24.5313854286,89.7231571429
325,29,23.6607142857,72.035607
326,32,24.9880951429,79.3388505714
327,20,23.3928565714,75.7390037143
328,19,21.6845237143,74.6621955714
329,20,22.7142857143,74.0579337143
330,26,24.2619048571,61.2030974286
331,16,20.440476,69.6287471429
332,33,21.0742068571,72.950894
333,28,23.1533614286,65.2385754286
334,18,18.6875,60.2287541429
335,20,22.0982142857,78.7537165714
336,15,25.0306121429,71.6112088571
337,21,23.1744504286,69.0980654286
338,20,22.6827381429,67.831892
339,12,18.5330624286,73.5668345714
340,17,23.105159,62.4279345714
341,24,24.271429,65.2351987143
342,17,24.802421,49.8066
343,14,23.0832024286,64.207413
344,15,22.4751901429,54.937075
345,25,26.4891155714,45.7599148571
346,12,18.1601192857,89.2451834286
347,16,22.6310272857,54.1186574286
348,24,27.752381,50.6414322857
349,20,30.0992342857,41.0236764286
350,25,29.4673467143,42.6676425714
351,22,24.5087815714,65.3168642857
352,23,33.0897954286,40.5401837143
353,19,30.1153907143,56.5569661429
354,19,26.3136907143,57.1587004286
355,18,26.3333334286,71.2608161429
356,7,26.3937927143,66.5337061429
357,18,24.9886447143,50.3404227143
358,17,28.7167237143,60.9355817143
359,22,28.0952383333,69.6820726667
360,21,29.7285714,50.691268
361,17,28.83910712,56.1159504
362,22,27.94964284,61.5406328
363,10,27.06017856,66.96531519999999
364,20,26.17071428,72.3899976
365,20,25.28125,77.81468
366,23,27.6150184286,65.590672
367,19,27.009524,73.5768002857
368,21,27.6479592857,67.7937442857
369,19,26.6777211429,70.7437432857
370,33,27.3702382857,67.3522931429
371,30,25.4394842857,65.068236
372,22,26.5140307143,65.1770984286
373,30,27.2005952857,64.5819475714
374,47,23.4711282857,82.6910255714
375,48,26.6458334286,64.2461048571
376,36,27.0869047143,65.7696382857
377,42,29.6065474286,56.6855264286
378,30,26.989011,54.445651
379,42,25.3273808571,60.1813658571
380,42,25.9517857143,56.708634
381,32,21.700397,68.8563125714
382,28,24.0892857143,56.8004611429
383,29,24.5684522857,52.2673031429
384,29,22.4816175714,62.2173861429
385,16,22.7657311429,56.6075801429
386,11,23.0378151429,52.4789508571
387,12,24.0047618571,57.930669
388,11,21.1071428571,72.7967155714
389,10,19.6458331429,63.0865397143
390,8,21.4634352857,64.370245
391,8,18.884524,50.7616777143
392,4,20.4544217143,54.889918
393,7,24.0794217143,43.0510702857
394,7,19.8190478571,39.9655827143
395,3,18.5782317143,48.597268
396,5,20.1244897143,56.2850358571
397,8,24.004762,45.7095801429
398,9,27.5482997143,39.7204677143
399,8,26.7843534286,43.7538505714
400,7,25.3319731429,49.1123371429
401,2,27.507483,50.1303782857
402,8,28.0829081429,51.871701
403,3,28.3839285714,43.1199585714
404,4,27.25,53.0448264286
405,2,25.0535714286,66.4382981429
406,5,24.840293,66.346168
407,5,24.0122452857,58.9615198571
408,6,26.1673468571,63.7632197143
409,4,27.3938775714,55.1054765714
410,6,26.4877551429,54.128319
411,6,26.8287414286,59.0372285714
412,6,27.7607845714,52.641444
413,14,28.1510205714,58.9410315714
414,6,26.1263602857,53.6953762857
415,6,26.3886622857,74.9494917143
416,4,27.590476,54.5038274286
417,1,26.9999998571,63.5031007143
418,31,25.5932822857,76.1832834286
419,27,26.0446428571,70.1112082857
420,12,27.7698414286,65.3399797143
421,11,28.2125,65.200312
422,19,24.4375,84.2407827143
423,16,26.5714285714,65.9537171429
424,25,28.0803571429,59.668259
425,42,29.2321428571,61.8062452857
426,67,28.7066325714,62.8310724286
427,118,28.9285714286,64.1496175714
428,128,26.4464285714,77.8354654286
429,240,26.135989,65.6572838571
430,411,25.1478171429,74.6848142857
431,495,25.8809527143,70.6003648571
432,493,23.2976191429,71.4537068571
433,461,23.8230622857,60.5464625714
434,562,26.580952,60.3608251429
435,561,21.9761902857,66.9173231429
436,429,21.9727894286,72.7139381429
437,309,16.0238092857,66.1646724286
438,253,22.1646824286,51.8730797143
439,185,21.2936511429,76.15312
440,168,20.4206345714,76.768664
441,123,18.7158732857,60.6778641429
442,118,21.7301587143,63.7185457143
443,115,21.298701285699998,61.8434295714
444,110,23.1460321429,49.8268007143
445,106,21.6883121429,59.8242941429
446,77,24.5238091429,53.855971
447,80,23.0845598571,49.0960118571
448,90,23.15873,48.9766104286
449,79,18.7857142857,70.6027601429
450,63,20.1240361429,62.5264072857
451,63,21.2097504286,60.3661607143
452,44,21.4253965714,53.3215312857
453,41,23.5476187143,56.1661312857
454,31,20.3809522857,69.00885
455,33,19.8958051429,66.4535871429
456,29,19.3446711429,78.7975774286
457,36,23.5857141429,65.147851
458,25,25.0,64.8609608571
459,24,24.7619981429,67.9436822857
460,33,26.3888887143,55.7250128571
461,28,21.1599518571,65.5033111429
462,47,23.7355895714,53.3242257143
463,32,25.5198414286,57.1824518571
464,43,25.015873,65.3695525714
465,38,24.4206351429,74.5307937143
466,44,26.7238097143,71.5338058571
467,15,25.2407408333,73.0497286667
468,0,23.968253,72.52403
469,30,22.97963,84.44354
470,65,23.9047615714,76.6718765714
471,67,23.6269847143,84.0021988571
472,85,26.2857138571,76.5671871429
473,107,26.8809522857,71.6356441429
474,140,24.3571432857,84.0443242857
475,180,25.5555552857,81.3327062857
476,284,24.0625,85.046726875
477,445,25.4853799474,76.2795473158
478,776,27.0416666667,69.01678975
479,1126,23.6875,81.680108125
480,1836,23.4833336,86.7767476
481,2118,27.481481619,66.8799954286
482,2088,27.1161618636,69.18151
483,1848,25.2389308571,68.1594232857
484,1997,24.3730162857,76.506085
485,1817,23.1984128571,69.0392495714
486,1593,22.0601848333,76.6838976667
487,1645,23.7121214545,66.4633978182
488,1301,22.6574076667,72.2065970833
489,1061,19.429825052600002,66.1802672632
490,665,22.3722222,57.5893522
491,469,18.5833333333,84.4419865833
492,292,19.0811571429,69.2499142857
493,201,16.6277142857,80.7924
494,170,19.095238,64.9760958571
495,120,21.6904762857,60.645217
496,74,19.8333334286,60.6853228571
497,80,18.8571,67.2799714286
498,54,18.8979428571,69.6095142857
499,44,20.7630714286,63.0905714286
500,52,19.6324714286,62.6396142857
501,46,22.108,58.9056285714
502,56,21.3628142857,65.1231428571
503,56,22.7951571429,59.7804285714
504,37,19.3069,67.0831857143
505,40,23.6062571429,66.6123571429
506,53,22.4221428571,60.5611857143
507,47,27.1559571429,51.7520571429
508,56,26.5825142857,57.714
509,51,25.6997571429,74.3529857143
510,41,23.0103,75.1069285714
511,64,23.2196857143,72.3686428571
512,80,24.8633142857,72.0612428571
513,62,23.9909142857,76.6921571429
514,104,25.0623285714,58.7623571429
515,74,29.2866857143,54.1940428571
516,87,25.0463142857,73.4463857143
517,121,25.3740428571,74.3796571429
518,92,27.1865428571,69.0601
519,88,27.1221,58.2163714286
520,92,28.2908142857,56.3968
521,93,28.3650714286,55.8558285714
522,193,27.1362571429,57.6748714286
523,223,27.1228571429,68.0238142857
524,317,27.1413428571,70.9455857143
525,373,23.1776857143,70.9379285714
526,512,25.6870571429,64.4271285714
527,665,26.9797,63.5819
528,680,25.8694142857,71.1893857143
529,658,24.5553857143,80.8192285714
530,621,27.3532714286,71.0534857143
531,626,26.5723285714,70.2558571429
532,674,27.3675714286,68.1306
533,776,26.1020428571,75.6021142857
534,751,22.5161142857,81.7823857143
535,966,25.7865428571,67.0092285714
536,1108,24.7712,71.4471142857
537,1031,23.3882285714,73.9822714286
538,1302,25.1457,59.3899857143
539,1290,26.3023285714,53.0419285714
540,1586,25.5311285714,50.5435714286
541,1657,24.1352142857,53.9269
542,1446,23.6322857143,59.7511
543,957,16.7535142857,73.8444285714
544,834,20.4046571429,61.6140428571
545,833,21.6283142857,51.7238571429
546,797,21.6059,45.0571571429
547,665,22.6382285714,55.183
548,522,19.3857285714,64.2373285714
549,351,19.3626428571,74.3551857143
550,318,19.9619285714,62.0394714286
551,284,20.596242857100002,46.6341428571
552,236,21.9180571429,50.9545
553,247,22.1628,50.0623285714
554,224,18.3850285714,52.0737285714
555,260,24.9010857143,37.9164428571
556,228,19.4694142857,55.0643714286
557,304,25.9404142857,38.5792714286
558,282,28.0320428571,29.6686142857
559,233,23.7558428571,59.4397
560,241,28.3294857143,42.1839571429
561,228,26.7866142857,45.8462428571
562,210,25.8518571429,56.6494285714
563,227,25.6288714286,59.7747857143
564,246,24.3631428571,78.3782428571
565,233,24.1154,67.7018857143
566,197,22.7576571429,86.3563714286
567,201,23.6025857143,69.1503857143
568,232,24.9262857143,66.7959857143
569,218,25.0377857143,66.0757428571
570,238,24.6740428571,78.7918571429
571,258,24.0633714286,77.1970857143
572,206,24.5522,70.56
573,226,23.8518714286,82.6726285714
574,302,24.6487,78.8429857143
